pathway,pval,padj,log2err,ES,NES,size,leadingEdge
ARNT_01,0.771381578947369,0.931684721158405,0.0486034247259069,0.300569311863194,0.814938010437649,37,ENSG00000145050|ENSG00000102401|ENSG00000180370|ENSG00000082898|ENSG00000182287|ENSG00000111652|ENSG00000106266|ENSG00000267855|ENSG00000146476
ARNT_02,0.474619289340102,0.830947954767903,0.0952879846194844,-0.345650603627773,-0.984087162837319,37,ENSG00000136231|ENSG00000115053|ENSG00000139722|ENSG00000233927|ENSG00000170515|ENSG00000094916
AR_01,0.444174757281553,0.820627802690583,0.0965629554309422,-0.423083888852335,-0.997550467163477,16,ENSG00000125755|ENSG00000115524|ENSG00000170515|ENSG00000108091|ENSG00000108848|ENSG00000101126|ENSG00000125166
AR_Q6,0.663176265270506,0.90077888951308,0.0583452776743612,0.353487638117977,0.848343394736479,22,ENSG00000168259|ENSG00000145050|ENSG00000125304
ASH1L_TARGET_GENES,0.222222222222222,0.693861496218183,0.166933848713193,-0.291295186179501,-1.0763725240782,191,ENSG00000087302|ENSG00000143621|ENSG00000214753|ENSG00000165417|ENSG00000122565|ENSG00000132434|ENSG00000088247|ENSG00000189403|ENSG00000167005|ENSG00000102317|ENSG00000266028|ENSG00000122566|ENSG00000100941|ENSG00000004700|ENSG00000108592|ENSG00000165934|ENSG00000137509|ENSG00000108654|ENSG00000062598|ENSG00000100664|ENSG00000120948|ENSG00000205323|ENSG00000146540|ENSG00000143742|ENSG00000116560|ENSG00000101138|ENSG00000140350|ENSG00000134901|ENSG00000094916|ENSG00000113141|ENSG00000088986|ENSG00000071051|ENSG00000139343
ASTIER_INTEGRIN_SIGNALING,0.958041958041958,0.986748149096829,0.0546808488785442,-0.259215740291351,-0.595892690357521,14,ENSG00000134001|ENSG00000113141
ASTON_MAJOR_DEPRESSIVE_DISORDER_DN,0.721934369602763,0.918655551316777,0.0538979025357319,0.352759077907767,0.819435257740119,18,ENSG00000157601|ENSG00000147471|ENSG00000138760|ENSG00000197892|ENSG00000049245|ENSG00000141458|ENSG00000006451
ATACCTC_MIR202,0.904988123515439,0.971104295699184,0.0582216241124161,-0.294282526503709,-0.705753808302831,17,ENSG00000152767|ENSG00000154727|ENSG00000108848|ENSG00000085832
ATACTGT_MIR144,0.935714285714286,0.980710886028464,0.0567672387487446,-0.258505818960237,-0.667626375100634,24,ENSG00000277443|ENSG00000100664|ENSG00000135097|ENSG00000221823|ENSG00000105887|ENSG00000244462|ENSG00000177565
ATAGGAA_MIR202,0.546948356807512,0.857470263641937,0.0828962134571565,-0.423849818962463,-0.9268806010401,11,ENSG00000277443|ENSG00000120948|ENSG00000116560
ATATGCA_MIR448,0.576112412177986,0.866373216570969,0.0799858801499946,-0.363298934633407,-0.898966166455799,19,ENSG00000122566|ENSG00000153201|ENSG00000115524|ENSG00000005249
ATCATGA_MIR433,0.394415357766143,0.793816219911791,0.0845557442441281,0.483604852922769,1.06233726036559,14,ENSG00000177885|ENSG00000085365|ENSG00000146457|ENSG00000001084|ENSG00000100883|ENSG00000176853
ATF1_Q6,0.979381443298969,0.992196591359493,0.0396787203613389,0.233897199769252,0.573365898205757,24,ENSG00000198087|ENSG00000104490|ENSG00000070831|ENSG00000110047|ENSG00000117118|ENSG00000096384|ENSG00000171951
ATF2_UP.V1_UP,0.900921658986175,0.970036370643351,0.0570059526582387,-0.299209683171273,-0.641098512650173,10,ENSG00000094916|ENSG00000277586|ENSG00000141456|ENSG00000189058
ATF3_Q6,0.930191972076789,0.979101027473607,0.0427591434738678,0.274253733711335,0.658188062005655,22,ENSG00000198087|ENSG00000131711|ENSG00000070831|ENSG00000110047|ENSG00000137285|ENSG00000096384|ENSG00000171951
ATF4_Q2,0.117505995203837,0.600460876057461,0.20207170902116,-0.474513097833224,-1.29634072169908,30,ENSG00000165417|ENSG00000122565|ENSG00000122566|ENSG00000139722|ENSG00000167460|ENSG00000119669|ENSG00000099622
ATF5_TARGET_GENES,0.13262599469496,0.619622181596588,0.199915231309662,-0.375658693542376,-1.19875412493415,67,ENSG00000143621|ENSG00000214753|ENSG00000132434|ENSG00000123213|ENSG00000122566|ENSG00000134001|ENSG00000165934|ENSG00000205323|ENSG00000090060|ENSG00000116560|ENSG00000213639|ENSG00000144713|ENSG00000128534|ENSG00000085832|ENSG00000145912|ENSG00000015676|ENSG00000075914|ENSG00000136261|ENSG00000112306|ENSG00000069275|ENSG00000105063|ENSG00000102900
ATF6_01,0.122033898305085,0.605446009389671,0.16440575583821,0.592996313055196,1.35387360245423,16,ENSG00000165280|ENSG00000168374|ENSG00000133112|ENSG00000177885|ENSG00000108829|ENSG00000184867
ATF6_TARGET_GENES,0.0425872781747004,0.446332051142313,0.321775918075361,-0.346032920205661,-1.23626806908809,148,ENSG00000136231|ENSG00000177733|ENSG00000185088|ENSG00000079785|ENSG00000175467|ENSG00000189403|ENSG00000110063|ENSG00000131013|ENSG00000159335|ENSG00000030066|ENSG00000164237|ENSG00000233927|ENSG00000122884|ENSG00000115128|ENSG00000257727|ENSG00000140307|ENSG00000039123|ENSG00000213024|ENSG00000102189|ENSG00000104897|ENSG00000007080|ENSG00000094916|ENSG00000113141|ENSG00000122406|ENSG00000146834|ENSG00000198730|ENSG00000148484|ENSG00000112578|ENSG00000073050
ATF_01,0.337378640776699,0.763776737460784,0.11378726182188,-0.390121958872637,-1.0775761328902,32,ENSG00000165417|ENSG00000277443|ENSG00000167460|ENSG00000119669|ENSG00000123384
ATF_B,0.961165048543689,0.987372315611679,0.0564118388217596,-0.251923633587312,-0.593987492778897,16,ENSG00000139722|ENSG00000119669|ENSG00000167658|ENSG00000255112|ENSG00000057663
ATGAAGG_MIR205,0.919720767888307,0.975013269554207,0.0432768714901103,0.283571758436843,0.680550611287329,22,ENSG00000189043|ENSG00000077147|ENSG00000205339
ATGCAGT_MIR217,0.448873483535529,0.822408855503625,0.077274697304471,0.452812918506665,1.00895248062528,15,ENSG00000147065|ENSG00000113194|ENSG00000077147|ENSG00000205542
ATGCTGC_MIR103_MIR107,0.592137592137592,0.872796460101711,0.0810802057550866,-0.346124556459146,-0.91544265650256,27,ENSG00000146676|ENSG00000100941|ENSG00000100664|ENSG00000123384|ENSG00000128245
ATGCTGG_MIR338,0.508802816901409,0.84474190773712,0.0716527366829457,0.478319608290703,0.967450121763931,10,ENSG00000088832|ENSG00000122299|ENSG00000105372|ENSG00000125753|ENSG00000167721
ATGGYGGA_UNKNOWN,0.40855106888361,0.80264793905268,0.10027910675413,-0.425389242770134,-1.02017636474348,17,ENSG00000125755|ENSG00000116560|ENSG00000189091|ENSG00000025800|ENSG00000147140
ATGTACA_MIR493,0.769102990033223,0.931112926238862,0.0491927521045191,0.309389418589627,0.812771956097625,33,ENSG00000131711|ENSG00000066777|ENSG00000130227|ENSG00000077147|ENSG00000138246|ENSG00000070087|ENSG00000136448|ENSG00000150093|ENSG00000147649|ENSG00000100030|ENSG00000112972|ENSG00000176853
ATGTAGC_MIR221_MIR222,0.132042253521127,0.618651380033687,0.160801401070022,0.657686923473986,1.33023878421214,10,ENSG00000168374|ENSG00000124164
ATGTCAC_MIR489,0.448192771084337,0.821990780912828,0.0956031492204301,-0.450388759372013,-1.00646477547986,12,ENSG00000087302|ENSG00000266028
ATGTTAA_MIR302C,0.916067146282974,0.974555399546573,0.0580983576873206,-0.256505456172925,-0.704989860792913,31,ENSG00000122566|ENSG00000115524|ENSG00000154727|ENSG00000164024|ENSG00000111875|ENSG00000108848|ENSG00000015479|ENSG00000221823|ENSG00000011485|ENSG00000169564
ATGTTTC_MIR494,0.11031175059952,0.587122275350256,0.208955027549354,-0.537091210835179,-1.32823166658212,20,ENSG00000146676|ENSG00000132434|ENSG00000100664|ENSG00000119669|ENSG00000069345|ENSG00000108848|ENSG00000155827|ENSG00000112739
ATTACAT_MIR3803P,0.390588235294118,0.791719543147208,0.102449405629826,-0.435405555819892,-1.02204755425562,15,ENSG00000029993|ENSG00000117751
ATTCTTT_MIR186,0.387341772151899,0.788878791000885,0.107554375265169,-0.366792482489014,-1.03209036242946,36,ENSG00000146676|ENSG00000047410|ENSG00000100941|ENSG00000158545|ENSG00000120948|ENSG00000213639
ATXN7L3_TARGET_GENES,0.792544570502431,0.939677405971759,0.0466948041282054,0.268943146061417,0.835365394496028,82,ENSG00000165280|ENSG00000167553|ENSG00000133112|ENSG00000049449|ENSG00000144635|ENSG00000149084|ENSG00000137267|ENSG00000124588|ENSG00000160124|ENSG00000074800|ENSG00000110917|ENSG00000113013|ENSG00000197956|ENSG00000105974|ENSG00000044574|ENSG00000001084|ENSG00000120725|ENSG00000166598|ENSG00000169710|ENSG00000112972|ENSG00000145907|ENSG00000172007|ENSG00000185624|ENSG00000108518|ENSG00000160959|ENSG00000167004|ENSG00000130340|ENSG00000144381
